QTY,FRAME,PRICE,SHIPPING,LINK 
12,350mm 2020 Extrusion,$170.00,FREE,https://www.amazon.in/gp/product/B0B7DWDSYG/ref=sw_img_1?smid=A208OH9593SH72&th=1
4,500mm 2020 Extrusion,,,
1,250mm 2020 for Front of T,,,
1,250mm 2020 For Rear of T,,,
2, 2020 Corner Bracket Set of 4,12.92,FREE,https://s.click.aliexpress.com/e/_onBHBQX
1,Feet,,,https://www.amazon.ca/gp/product/B00JJ191Z6/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
,,,,
,HARDWARE,,,
10,M5 x 35mm Socket Head,,,
50,M5 x 10mm Button Head,,,
2,260pcs M3 Assortment,$30.50,$4.17,https://www.aliexpress.com/item/32992435707.html?spm=a2g0o.productlist.0.0.3ea76c87LXneOK&algo_pvid=85ac67d7-ac79-4764-b55f-1e95e6bba7d5&algo_exp_id=85ac67d7-ac79-4764-b55f-1e95e6bba7d5-7&pdp_ext_f=%7B%22sku_id%22%3A%2266931592622%22%7D&pdp_npi=2%40dis%21CAD%21%2115.28%21%21%214.17%21%21%40210318c916529782911236664ed7da%2166931592622%21sea
1,100 PCS M3 X 5 X 4 Inset Nut,$7.86,FREE,https://s.click.aliexpress.com/e/_opv9m23
,,,,
,MOTION,,,
1,MGN12H Linear Rail 350mm for X,$24.23,$4.10,https://s.click.aliexpress.com/e/_oElS6xz
2,MGN9H Linear Rail 350mm for Y,$37.82,$6.90,https://s.click.aliexpress.com/e/_oFn7CRH
3,MGN12H Linear Rail 300mm for Z,$50.22,$9.70,
1,Nema 17 Motor 5 PCS,$61.86,$7.58,https://s.click.aliexpress.com/e/_om6FKL5
2,10Pcs F695-2RS Bearing 5*13*4 mm ABEC-7,$23.48,FREE,https://s.click.aliexpress.com/e/_oDqSIIj
1,4M GT2 6mm wide Belt,$15.62,$10.28,https://s.click.aliexpress.com/e/_oD6woAL
2,20 Tooth Pulley for X and Y Stepper,,,
1,3 Piece 5mm bore 10mm Wide Pulley for Z Steppers,$15.88,FREE,https://s.click.aliexpress.com/e/_opGzedD
1,3 Pieces 5mm Bore 10mm Toothed Idler for Z,$14.55,FREE,https://s.click.aliexpress.com/e/_oBWlZZd
1,10mm 4 meters Belt for Z,$13.23,FREE,https://s.click.aliexpress.com/e/_oojYTAf
,,,,
,Extruder,,,
1,Orbiter 2.0 with motor,$67.37,FREE,https://s.click.aliexpress.com/e/_oFoyHhN
,,,,
,ELECTRONICS,,,
1,FYSETC Spider V2.2 Motherboard 32Bit Controller Board TMC2209,$88.00,$3.14,https://s.click.aliexpress.com/e/_oDxPKt1
2,Endstop TYPE C ,$4.00,,https://www.aliexpress.com/item/1005001521075426.html?spm=a2g0o.productlist.0.0.31f15cc2CAdC8m&algo_pvid=1d3272d4-5043-412f-9fcc-f140a325fee1&algo_exp_id=1d3272d4-5043-412f-9fcc-f140a325fee1-49&pdp_ext_f=%7B%22sku_id%22%3A%2212000016444128984%22%7D&pdp_npi=2%40dis%21CAD%211.35%211.13%21%21%211.59%21%21%402101e9ce16612710304307503eb314%2112000016444128984%21sea&curPageLogUid=7YI51PmQScfG
1,Power Inlet,$14.00,FREE,https://www.amazon.ca/gp/product/B085VSS1F2/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
,Alternate Power Inlet,$6.00,,https://www.aliexpress.com/item/4000165240093.html?spm=a2g0o.productlist.0.0.13d27f5cEgMatz&algo_pvid=b1706053-e4bd-403b-97a4-c13e7dae65a5&algo_exp_id=b1706053-e4bd-403b-97a4-c13e7dae65a5-2&pdp_ext_f=%7B%22sku_id%22%3A%2210000000554959345%22%7D&pdp_npi=2%40dis%21AUD%214.42%214.42%21%21%213.02%21%21%40210318be16612057968908965e0c88%2110000000554959345%21sea&curPageLogUid=pgI6usoM5hD8
1,24V 200 Watt Meanwell PSU,$52.28,11.57,https://s.click.aliexpress.com/e/_ok9jHrp
1,24v 4010 Hotend Cooling Fan,$1.11,2.43,https://www.aliexpress.com/item/32868163248.html?spm=2114.12010615.8148356.2.436e57e8tYpjQU
1,24v 5015 Part Cooling,$21.62,FREE,https://www.aliexpress.com/item/4000865202504.html?spm=a2g0o.productlist.0.0.6a652307eDibia&algo_pvid=620ecb1e-9dca-4756-bf83-21bdd9e55f02&algo_exp_id=620ecb1e-9dca-4756-bf83-21bdd9e55f02-5&pdp_ext_f=%7B%22sku_id%22%3A%2210000009727027696%22%7D&pdp_npi=2%40dis%21CAD%21%2121.62%21%21%21%21%21%400bb0624016529777543501712edb8b%2110000009727027696%21sea
1,Omron SSR,$20,FREE,https://www.digikey.ca/en/products/detail/omron-automation-and-safety/G3NA-210B-UTU-DC5-24/634443
,,,,
,HOTEND,,,
1,Bambu Hotend ,$30.00,FREE,https://s.click.aliexpress.com/e/_o2esdmJ
1,Phaetus Rapido Hotend with thermistor,,FREE,https://3dhub.ca/products/phaetus-rapido-hotend-uhf
,,,,
,BED,,,
1,220x220 Glass Bed,$25.44,9.88,https://s.click.aliexpress.com/e/_oBQc5V5
1,Inexpensive 120v 200x200 Bed Heater,$16.00,,https://www.aliexpress.com/item/32965441179.html?spm=a2g0o.productlist.main.7.3e4fhZTlhZTlGW&algo_pvid=f3f8e854-0367-4e7f-99ba-da222b3871bd&algo_exp_id=f3f8e854-0367-4e7f-99ba-da222b3871bd-3&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2116.08%2116.08%21%21%2111.34%2111.34%21%402101c5a417446682143076784e68db%2166645264372%21sea%21CA%21143470760%21X&curPageLogUid=w77ykQb3QLT1&utparam-url=scene%3Asearch%7Cquery_from%3A
1,,,FREE,https://s.click.aliexpress.com/e/_oFy6kMJ
,,,,
,COST CND,$823.99,,
,SHIPPING CND,$69.75,,
,TOTAL CND,$893.74,,
,,,,
,,,,
,,,,
,COST USD,$642.71,,
